CIN,COMPANY_NAME,STATE,SOURCE,FIELD,SOURCE_URL
U99999DL1995PTC074465,BRISK TOP SECURITY AGENCY PVT LTD,Karnataka,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U99999DL1995PTC074465
U74999PN2016PTC167464,CALLFLEX CORPORATION PRIVATE LIMITED,Tamil Nadu,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U74999PN2016PTC167464
U51909DL2020PTC372972,LFG HARDWARE PRIVATE LIMITED,Karnataka,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U51909DL2020PTC372972
U99999KA1960PTC001399,"THE PUTTUR AUTOMOBILE ENGINEERING CO., PRIVATE LIMITED",Gujarat,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U99999KA1960PTC001399
U68100DL2023PTC423612,HRT BHARAT PRIVATE LIMITED,Karnataka,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U68100DL2023PTC423612
U46301GJ2025PTC160706,VEGETRADE PRIVATE LIMITED,Delhi,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U46301GJ2025PTC160706
U51900MH1998PTC114781,HANN DISTRIBUTION COMPANY PRIVATE LIMITED,Tamil Nadu,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U51900MH1998PTC114781
U67110KA2020PTC138708,ABSDULRAHEEM INVESTMENTS AND ADVISORY PRIVATE LIMITED,Gujarat,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U67110KA2020PTC138708
U92190KA2019PTC125842,BARAATI MEDIA & ENTERTAINMENT PRIVATE LIMITED,Gujarat,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U92190KA2019PTC125842
U74999GJ2017PTC096798,BINGER SPORTS PRIVATE LIMITED,Delhi,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U74999GJ2017PTC096798
U80904KA2018PTC114335,GURUSHIKSHAALAY EXCELLENCE MDS PRIVATE LIMITED,Gujarat,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U80904KA2018PTC114335
U99999KA1984PTC006372,BOOK MAKERS (INDIA) PRIVATE LIMITED,Gujarat,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U99999KA1984PTC006372
U29295MH2003PTC143743,EROS INFRASTRUCTURES PRIVATE LIMITED,Tamil Nadu,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U29295MH2003PTC143743
U25200GJ1993PTC019835,BLOW POLY PLAST PRIVATE LIMITED,Delhi,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U25200GJ1993PTC019835
