CIN,COMPANY_NAME,Change_Type,Field_Changed,Old_Value,New_Value,Date,STATE
U62013PN2023FTC219499,DF AUTOMATION SOLUTION INDIA PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U92490MH2022PTC392352,KKAY PRODUCTION PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U24220MH1983PTC031487,GUJARAT PAINTS AND ALLIED PRODUCTS PVT LTD,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U55209MH2017PTC302059,PARISWAPNIL HOTELS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U51909PN2003PTC017940,OASIS SALES AND SERVICES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U24100MH1980PTC023371,BHAGWATI NITRATE PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U52291MH2025PTC439593,TAKE IT EZEE HOLIDAY MAKER PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45200MH1995PTC086098,SAPRA PROPERTIES AND INVESTMENTS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U99999MH1904PTC000193,THE CENTRAL INDIA MINING COMPANY LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U92490MH2022PTC385894,ABU AND BUNCH OF STORIES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45202MH2008PTC186125,R B PATIL INFRASTRUCTURE PRIVATE LIMITED.,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U29299MH1996PTC103332,UNITED VACTECH PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U92112MH2000PTC124406,MELODICA ENTERTAINMENT PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45200MH1991PTC061816,RATNA-DA DEVELOPERS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U29303PN2013PTC147039,METRO WORKS INDIA PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U74999MH2018PTC303855,RAINFOREST ADVISORY PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U85195MH1987PTC043007,SIGMA LABORATORIES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U51909MH2020PTC352572,MAHALAXMI AGRO IMPEX PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U93000MH2018PTC313540,DECATHLON SOLUTIONS AT 360 PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45309MH2018PTC305201,RIPAN DEVELOPERS & SUPPLIERS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U74140MH2000PTC901080,ESSBEEGEE TRUSTEESHIP CO.PVT.LTD.,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U27300PN2007PTC130782,SHREERAM ALFORCA TECHNOLOGIES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U29210MH2012PTC233030,NAVJYOT ENGINEERING WORKS & EQUIPMENTS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U52100MH2014PTC253882,HRP TECHNOLOGIES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U15549MH2011PLC219877,HUTATMA JAIWANT SUGAR & POWER LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U55101PN2005PTC021346,UMA MOTELS AND WATER PARK PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U69202MH2024PTC433891,LASTDROP FINTECH SOLUTION PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45201PN2005PTC020276,STEEL REAL ESTATES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U85320MH2016PTC281323,EHT HEALTHCARE PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45402MH2022PTC379271,PRESTIGE LIFESPACE DEVELOPERS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U74999MH2019OPC320948,EVERYTHING EXPATS INDIA (OPC) PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U85499GJ2025NPL159001,NEW TEST COMPANY 2 PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Delhi
U78100MH2025OPC440087,SYSMEISTER (OPC) PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U29307PN2013PTC146733,GURUDNYANANKIT ENERGY PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45200MH2010PTC199392,RAJAGANPATI INFRA PROJECTS AND DEVELOPERS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U62091MH2024PTC428421,CLEVERNAV SOLUTIONS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U75000PN2025PTC240186,S-VET SCIENCE PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U22222MH2010PTC210807,ROVOLT ENTERTAINMENT SERVICES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U95000MH2015PTC264835,DISHA CAREER MANPOWER SERVICES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45200MH2005PTC150517,P M BUILDERS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U51900MH2008PTC184772,AMAL MERCANTILE PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U74140MH2006PTC162880,SIDDHARTH CONSULTANCY SERVICES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U51909MH2018PTC316237,SRM LIFESTYLE PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U62099MH2023PTC400420,UNICORNIS AI SOLUTIONS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U25201PN2001PTC016282,POKHARNA PLASTICS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
L45202MH1957PLC010986,R J SHAH AND COMPANY LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U26940MH1995PTC088782,Q-FAB CEMENT PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U93000MH2009PTC192195,M & M METROFLEX GYM PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45400MH2021PTC354949,EKLINGJI AGRO ASSETS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U99999MH1992PTC065909,PRUDENTIAL CEMENTS LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U79110MH2025PTC446316,J.K. FLEET MANAGEMENT PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U74140MH1996SGC907996,DF,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U01100MH2023PTC397775,KRUSHIDNYANVIDYA AGRO FARMER PRODUCER COMPANY LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U99999MH1987PTC042916,CHETNACATERERS PVT LTD.,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U41001MH2024FTC416773,BANDRA KURLA OFFICE ASSET PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U17120MH2006PTC159529,NMK TEXTILE MILLS (INDIA) PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U97000MH2025PTC441240,BYDE ONDEMAND SERVICES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U51397MH1995PTC085054,EL-ROY MARKETING PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U92419MH2022PTC387551,CRANKY GRANNY PRODUCTIONS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U29297MH2016PTC282822,MECWELL PHARMA MACHINERY PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U51900MH1977PTC019552,ALLANA EXPORTS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U01100MH1988PTC047436,KANOONGO FARMS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U92419MH2022PTC387945,MUSIC AMP FILMS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U29299MH1989PTC054806,VENKATESHWRA ENGINEERS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U55101MH2012PTC225633,PROLIFIC'S DURGA HOTELS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U99999MH1988PTC046832,AMARNATH LAND DEVELOPMENT PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U00341MH2000PLC990439,MAGANLAL CHAGANLAL LTD.,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45202MH2009PTC191894,DARSHANIK PROPERTIES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U72500PN2021PTC205325,CODESERVE TECHNOLOGIES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U51900MH1984PTC033443,SANKALP TRADES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U62099PN2023FTC220031,NORTHLADDER TECHNOLOGIES INDIA PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U29253MH2013PTC247113,ALUMATECH FACADE SYSTEMS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U62020PN2024PTC236363,BLEZTO TECHNOLOGIES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U85192MH2008FTC188194,ASTELLAS PHARMA INDIA PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U74900MH2013PTC242104,SHEP ENTERTAINMENT PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U01100MH2022PTC395186,MANVAT KOLHA MAHILA FARMER PRODUCER COMPANY LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45400MH2013PTC243167,PATNI INFRASERVICES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U23935PN2024PTC233355,KOMI IMPEX PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U51909MH2003PTC140796,GRAHAKRAJA MARKETING PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U67190MH2021PTC370643,WEALTHY BEE FINANCIAL AND INVESTMENT SOLUTIONS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45200MH2006PTC160177,ANJULI REALTY PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45200MH2004PTC144399,SEN R. CONSTRUCTION PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U52399MH2014PTC252835,SPH CLUBS AND RESORTS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U15490MH2022OPC374852,SUPERRP TRADING (OPC) PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U30007MH1991PLC059702,DATAMINI TECHNOLOGIES (INDIA) LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U51909MH2002PTC137492,GMV AGENCIES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U99999MH1987PTC043269,CIVICON ENGINEERING (BOMBAY) PVT LTD,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U01100MH2023PTC397780,DEEPVARSHA AGRO FARMER PRODUCER COMPANY LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U17120MH1991PTC059714,BLOSSOM TEXTURISING P LTD,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U51410MH1980PTC023311,TRANS AMMONIA PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U22100MH1995PLC093911,INDIANPURCHASE COM INFOWARE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U51909MH2020PTC341966,MRUNVEDAA HEALTHCARE SOLUTIONS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U88900MH2024NPL431590,ME NASHIKKAR DEVELOPMENT FOUNDATION,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U55100MH1998PTC117579,MANE RESORTS AND HOTELS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U46205PN2023PTC226338,HARITSANGI AGRITECH PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U01110MH1992PTC069569,RAJURESHWAR PLANTATION PVT.LTD.,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U74900MH2016PTC273934,L & B SOFTWARE TECHNOLOGIES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U67190MH2007PTC177055,PERPETUAL CAPITAL AND SERVICING PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45400MH2012PTC225792,SYMPHONY REALCON PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U74999MH2017PTC293342,ZAINARCO LABS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U99999MH1985PTC035013,FELPIN INVESTMENT AND TRADING PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U74900MH2011PTC215984,ROMI TECHNOLOGIES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U63090MH1986PTC040178,BHATIA AGENCIES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45200PN2012PTC143571,GAL DEVELOPERS AND REALTORS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U99999MH1986PTC040517,DHRUV STEEL WIRES PVT. LTD.,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U70102MH2014PTC259415,INTEGRITAT INFRA CONSULTANTS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U88900MH2023NPL405292,TRADITIONAL GOJU RYU KARATE DO RENMEI ASSOCIATION,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U55101PN2011PTC140536,VISHWASINDHU RESTAURANTS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U52601PN2018PTC176810,JAMBHALE ENTERPRISES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U70200MH2023PTC407554,PROFRANCHISE SOLUTIONS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U74999MH2017PTC296784,ADJECTIVE DIGITAL SOLUTIONS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
